GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC02_EST_VC02,HC03_EST_VC02,HC04_EST_VC02,HC05_EST_VC02,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC04_EST_VC03,HC05_EST_VC03,HC01_EST_VC06,HC02_EST_VC06,HC03_EST_VC06,HC04_EST_VC06,HC05_EST_VC06,HC01_EST_VC07,HC02_EST_VC07,HC03_EST_VC07,HC04_EST_VC07,HC05_EST_VC07,HC01_EST_VC10,HC02_EST_VC10,HC03_EST_VC10,HC04_EST_VC10,HC05_EST_VC10,HC01_EST_VC11,HC02_EST_VC11,HC03_EST_VC11,HC04_EST_VC11,HC05_EST_VC11,HC01_EST_VC12,HC02_EST_VC12,HC03_EST_VC12,HC04_EST_VC12,HC05_EST_VC12,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC04_EST_VC13,HC05_EST_VC13,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC04_EST_VC15,HC05_EST_VC15,HC01_EST_VC17,HC02_EST_VC17,HC03_EST_VC17,HC04_EST_VC17,HC05_EST_VC17,HC01_EST_VC18,HC02_EST_VC18,HC03_EST_VC18,HC04_EST_VC18,HC05_EST_VC18,HC01_EST_VC19,HC02_EST_VC19,HC03_EST_VC19,HC04_EST_VC19,HC05_EST_VC19,HC01_EST_VC20,HC02_EST_VC20,HC03_EST_VC20,HC04_EST_VC20,HC05_EST_VC20,HC01_EST_VC23,HC02_EST_VC23,HC03_EST_VC23,HC04_EST_VC23,HC05_EST_VC23,HC01_EST_VC24,HC02_EST_VC24,HC03_EST_VC24,HC04_EST_VC24,HC05_EST_VC24,HC01_EST_VC27,HC02_EST_VC27,HC03_EST_VC27,HC04_EST_VC27,HC05_EST_VC27,HC01_EST_VC28,HC02_EST_VC28,HC03_EST_VC28,HC04_EST_VC28,HC05_EST_VC28,HC01_EST_VC29,HC02_EST_VC29,HC03_EST_VC29,HC04_EST_VC29,HC05_EST_VC29,HC01_EST_VC32,HC02_EST_VC32,HC03_EST_VC32,HC04_EST_VC32,HC05_EST_VC32,HC01_EST_VC33,HC02_EST_VC33,HC03_EST_VC33,HC04_EST_VC33,HC05_EST_VC33
0500000US01003,01003,"Baldwin County, Alabama",71307,38117,2137,6786,24267,2.76,3.34,4.92,4.59,1.15,47040,38117,2137,6786,(X),3.48,3.30,3.83,4.37,(X),14233,10530,841,2862,(X),12.1,12.5,5.9,12.3,(X),19.9,25.4,0.0,5.5,(X),68.0,62.1,94.1,82.2,(X),71307,38117,2137,6786,24267,22.8,30.3,60.2,50.1,0.0,46.9,45.5,46.7,26.5,54.8,31.0,(X),(X),(X),91.0,14.0,(X),(X),(X),41.2,0.2,(X),(X),(X),(X),2.8,(X),(X),(X),(X),75.0,86.9,67.5,57.3,62.0,12.0,4.6,6.0,24.4,20.6,13.0,8.5,26.5,18.2,17.4,72.4,85.2,59.0,45.5,61.0,27.6,14.8,41.0,54.5,39.0
0500000US01015,01015,"Calhoun County, Alabama",46087,22033,1979,7698,14377,2.45,3.03,3.31,2.87,1.22,31710,22033,1979,7698,(X),2.92,3.01,2.79,2.71,(X),12453,7038,748,4667,(X),26.1,20.4,19.9,35.6,(X),21.1,23.3,7.6,19.9,(X),52.8,56.3,72.5,44.4,(X),46087,22033,1979,7698,14377,31.4,35.4,50.8,73.5,0.0,40.9,43.1,31.3,25.5,47.1,25.8,(X),(X),(X),82.6,11.3,(X),(X),(X),36.3,0.4,(X),(X),(X),(X),4.9,(X),(X),(X),(X),74.8,85.5,68.2,57.4,68.7,15.3,4.6,27.4,31.4,21.3,9.9,9.9,4.3,11.2,10.0,68.8,83.6,56.1,47.5,59.3,31.2,16.4,43.9,52.5,40.7
0500000US01043,01043,"Cullman County, Alabama",30424,16832,1043,2883,9666,2.64,3.18,3.70,3.91,1.20,20758,16832,1043,2883,(X),3.26,3.16,3.32,3.83,(X),8251,6443,535,1273,(X),17.3,21.7,0.0,2.3,(X),23.2,19.1,87.9,16.7,(X),59.5,59.2,12.1,81.1,(X),30424,16832,1043,2883,9666,31.4,41.4,67.2,58.1,2.1,40.5,34.4,33.5,37.2,53.0,27.6,(X),(X),(X),87.0,14.0,(X),(X),(X),44.1,0.6,(X),(X),(X),(X),4.1,(X),(X),(X),(X),69.5,78.3,42.4,67.2,57.7,11.7,3.9,15.9,21.7,22.0,18.8,17.8,41.7,11.1,20.4,74.5,84.6,54.1,57.1,64.3,25.5,15.4,45.9,42.9,35.7
0500000US01049,01049,"DeKalb County, Alabama",24720,13080,1272,2543,7825,2.84,3.41,4.35,4.32,1.15,16895,13080,1272,2543,(X),3.50,3.39,3.87,3.93,(X),6446,4599,479,1368,(X),23.2,25.8,28.2,12.6,(X),18.8,18.0,8.8,25.3,(X),58.0,56.2,63.0,62.1,(X),24720,13080,1272,2543,7825,28.7,37.5,48.5,61.7,0.0,39.6,40.0,34.0,18.2,46.8,29.7,(X),(X),(X),93.9,11.5,(X),(X),(X),36.5,0.2,(X),(X),(X),(X),4.5,(X),(X),(X),(X),66.3,76.7,70.0,69.5,47.4,8.8,0.9,3.3,11.5,21.9,24.9,22.4,26.7,19.0,30.7,71.6,86.2,56.8,48.0,57.4,28.4,13.8,43.2,52.0,42.6
0500000US01051,01051,"Elmore County, Alabama",28352,14903,1329,3717,8403,2.70,3.22,5.12,3.20,1.18,19949,14903,1329,3717,(X),3.23,3.21,4.28,2.93,(X),8770,5868,779,2123,(X),19.4,13.5,51.0,23.9,(X),30.5,38.8,6.8,16.3,(X),50.1,47.7,42.2,59.7,(X),28352,14903,1329,3717,8403,33.7,41.6,73.1,63.6,0.1,37.6,33.9,21.4,26.4,51.8,25.6,(X),(X),(X),86.2,11.7,(X),(X),(X),39.6,0.0,(X),(X),(X),(X),5.1,(X),(X),(X),(X),79.6,89.9,85.9,66.2,66.1,4.6,0.0,0.0,9.3,11.5,15.8,10.1,14.1,24.5,22.4,79.6,90.0,88.0,61.9,67.6,20.4,10.0,12.0,38.1,32.4
0500000US01055,01055,"Etowah County, Alabama",39714,20576,1476,4801,12861,2.57,3.23,3.27,3.40,1.13,26853,20576,1476,4801,(X),3.18,3.17,2.96,3.28,(X),9932,7096,755,2081,(X),21.4,17.9,6.5,38.8,(X),16.4,12.8,54.0,14.9,(X),62.2,69.2,39.5,46.3,(X),39714,20576,1476,4801,12861,28.9,39.4,53.0,54.1,0.0,41.3,39.1,24.2,33.1,49.9,29.0,(X),(X),(X),89.5,13.1,(X),(X),(X),40.4,0.2,(X),(X),(X),(X),3.0,(X),(X),(X),(X),81.2,89.2,81.6,65.0,74.5,9.8,2.7,6.0,17.3,19.0,8.9,8.1,12.5,17.7,6.5,68.2,81.3,48.2,46.2,57.6,31.8,18.7,51.8,53.8,42.4
0500000US01069,01069,"Houston County, Alabama",38825,17029,1674,6246,13876,2.66,3.18,4.11,4.05,1.22,24949,17029,1674,6246,(X),3.38,3.16,3.64,3.90,(X),9864,5582,827,3455,(X),22.3,23.2,13.4,23.0,(X),20.3,20.2,13.9,22.0,(X),57.4,56.6,72.7,55.0,(X),38825,17029,1674,6246,13876,29.4,36.4,57.7,67.5,0.3,40.8,41.3,25.1,26.1,48.8,31.4,(X),(X),(X),87.8,12.4,(X),(X),(X),34.8,0.3,(X),(X),(X),(X),5.3,(X),(X),(X),(X),72.5,83.6,75.5,62.5,63.1,13.2,3.6,8.4,22.5,21.4,14.3,12.8,16.1,14.9,15.6,65.4,83.0,47.2,39.3,57.7,34.6,17.0,52.8,60.7,42.3
0500000US01073,01073,"Jefferson County, Alabama",261980,106283,12518,46021,97158,2.46,3.16,3.13,3.33,1.19,164822,106283,12518,46021,(X),3.14,3.14,2.88,3.22,(X),67956,40092,4621,23243,(X),23.0,22.3,36.7,21.5,(X),17.9,18.0,9.2,19.4,(X),59.1,59.7,54.1,59.1,(X),261980,106283,12518,46021,97158,30.5,40.9,52.0,63.7,0.7,36.3,36.9,29.2,28.6,40.2,32.1,(X),(X),(X),86.4,10.4,(X),(X),(X),28.1,0.2,(X),(X),(X),(X),4.4,(X),(X),(X),(X),72.4,87.6,64.3,67.4,59.3,23.8,9.1,30.4,28.8,36.6,3.8,3.3,5.3,3.8,4.0,61.6,80.1,50.7,43.1,51.5,38.4,19.9,49.3,56.9,48.5
0500000US01077,01077,"Lauderdale County, Alabama",38093,17289,1649,5279,13876,2.39,2.94,2.75,3.50,1.23,24217,17289,1649,5279,(X),2.99,2.93,2.60,3.33,(X),9252,5033,906,3313,(X),22.4,25.1,17.8,19.6,(X),22.2,21.4,9.4,26.9,(X),55.4,53.5,72.8,53.5,(X),38093,17289,1649,5279,13876,26.5,31.0,67.0,67.7,0.3,41.8,43.5,28.2,22.7,48.7,31.4,(X),(X),(X),86.3,13.7,(X),(X),(X),37.5,0.2,(X),(X),(X),(X),4.4,(X),(X),(X),(X),75.3,91.9,83.5,60.0,59.4,16.3,4.5,9.0,20.9,30.1,8.4,3.6,7.5,19.1,10.5,68.1,84.8,69.0,47.2,55.1,31.9,15.2,31.0,52.8,44.9
0500000US01081,01081,"Lee County, Alabama",57880,24431,2536,9839,21074,2.57,2.99,3.19,3.33,1.64,36806,24431,2536,9839,(X),3.02,2.99,2.54,3.23,(X),17127,9953,1267,5907,(X),24.0,27.3,52.6,12.4,(X),17.4,18.0,0.0,20.1,(X),58.6,54.7,47.4,67.5,(X),57880,24431,2536,9839,21074,33.1,43.4,51.9,73.3,0.1,29.2,31.9,20.9,18.8,31.8,26.2,(X),(X),(X),71.9,8.3,(X),(X),(X),22.8,0.3,(X),(X),(X),(X),4.4,(X),(X),(X),(X),58.3,82.4,37.9,51.8,35.9,25.0,4.3,30.6,27.8,46.9,16.8,13.4,31.5,20.4,17.2,58.0,82.2,48.6,46.7,36.3,42.0,17.8,51.4,53.3,63.7
